product_id,product_name,price,quantity
101,coffee,20,20
102,coffee,20,20
103,coffee,20,20
104,coffee,20,20
105,coffee,20,20
106,coffee,20,20
107,coffee,20,20
108,coffee,20,20
109,coffee,20,20
110,coffee,20,20
111,coffee,20,20
112,coffee,20,20
113,coffee,20,20
114,coffee,20,20
115,coffee,20,20
116,coffee,20,20
117,coffee,20,20
118,coffee,20,20
119,coffee,20,20
120,coffee,20,20
121,coffee,20,20
122,coffee,20,20
123,coffee,20,20
124,coffee,20,20
125,coffee,20,20
126,coffee,20,20
127,coffee,20,20
128,coffee,20,20
129,coffee,20,20
130,coffee,20,20
131,coffee,20,20
132,coffee,20,20
133,coffee,20,20
134,coffee,20,20
135,coffee,20,20
136,coffee,20,20
137,coffee,20,20
138,coffee,20,20
139,coffee,20,20
140,coffee,20,20
141,coffee,20,20
142,coffee,40,20
143,coffee,20,20
144,coffee,20,20
145,coffee,20,20
146,coffee,20,20
147,coffee,20,20
148,coffee,20,20